rowId,tipo,estado,nombreOriginal,numRuc,numeroSerie,numero,monto,fechaEmision,candidatosIds,candidatosSizes,candidatosCreatedTimes
165,factura,NOT_FOUND,FACTURA-SATURNO.pdf,20609270153,F001,1019,4400,20/03/2024,,,
165,xml,NOT_FOUND,20609270153-01-F001-1373.xml,20609270153,F001,1019,4400,20/03/2024,,,
165,guia,NOT_FOUND,GUIA DE REMISION .pdf,20609270153,F001,1019,4400,20/03/2024,,,
521,pedido,NOT_FOUND,SATURNO 2024-04528 HP M283 + SUMIN.pdf,20492979041,FE02,13237,1174.10,10/05/2024,,,
603,guia,NOT_FOUND,F001-23734.pdf,20510673710,F001,23734,4806.40,30/04/2024,,,
1044,xml,NOT_FOUND,20508596732-01-F001-8084.xml,20508596732,F001,8084,3784.26,10/06/2024,,,
1044,guia,NOT_FOUND,T020-049729.pdf,20508596732,F001,8084,3784.26,10/06/2024,,,
1044,pedido,NOT_FOUND,OC - 202405711.pdf,20508596732,F001,8084,3784.26,10/06/2024,,,
1049,pedido,AMBIGUOUS,202405626.pdf,20510673710,F001,24433,984.80,05/06/2024,1P8UAOu0ikdBnjQAKUAXx6ken-Eg3P6Sh|1LODwjJn1C0e_Hh0f0WHWXtnZXRjhvI2O|17qEnJlCLsl__4fm2w0z-sHZSQPboZ-4s,1007047|1007047|194376,2024-06-25T19:38:53.643Z|2024-06-25T19:38:42.144Z|2024-06-17T22:31:52.841Z
1050,pedido,AMBIGUOUS,202405626.pdf,20510673710,F035,48566,467.40,05/06/2024,1P8UAOu0ikdBnjQAKUAXx6ken-Eg3P6Sh|1LODwjJn1C0e_Hh0f0WHWXtnZXRjhvI2O|17qEnJlCLsl__4fm2w0z-sHZSQPboZ-4s,1007047|1007047|194376,2024-06-25T19:38:53.643Z|2024-06-25T19:38:42.144Z|2024-06-17T22:31:52.841Z
1708,factura,NOT_FOUND,20600348991-01-FF01-5922.pdf,20600348991,FF01,5922,3869.93,02/07/2024,,,
1708,xml,NOT_FOUND,20600348991-01-FF01-5922.xml,20600348991,FF01,5922,3869.93,02/07/2024,,,
1708,guia,NOT_FOUND,5201 F5922 OC06640.pdf,20600348991,FF01,5922,3869.93,02/07/2024,,,
1708,pedido,NOT_FOUND,2024-06640.pdf,20600348991,FF01,5922,3869.93,02/07/2024,,,
1861,pedido,NOT_FOUND,OC 2024-01986 IMPLEMENTOS (3).pdf,20510673710,F038,18183,3301.4,04/03/2024,,,
2439,guia,NOT_FOUND,tanques de combustibles .pdf,20612534579,E001,14,7599.20,05/08/2024,,,
2439,pedido,NOT_FOUND,2024-07447.pdf,20612534579,E001,14,7599.20,05/08/2024,,,
2480,guia,NOT_FOUND,T001-153(1860).pdf,20607022535,F001,1860,638.33,30/07/2024,,,
2801,pedido,NOT_FOUND,2024-08460.pdf,20601390672,FF05,7070,2700,20/08/2024,,,
2938,factura,NOT_FOUND,20508596732-01-F001-8544.pdf,20508596732,F001,8544,302.08,03/09/2024,,,
2938,xml,NOT_FOUND,20508596732-01-F001-8544.xml,20508596732,F001,8544,302.08,03/09/2024,,,
2938,guia,NOT_FOUND,GR T020-050101.pdf,20508596732,F001,8544,302.08,03/09/2024,,,
3077,guia,NOT_FOUND,guia2.pdf,20605893610,F001,2226,900,09/09/2024,,,
3131,guia,NOT_FOUND,guia2.pdf,20460944504,F001,00001506,14728.86,12/09/2024,,,
